Player,Position,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),Sprint Distance (m)
Tabitha,M,6/19 Switzerland 4,610.0,,27.727272727272727,6.3,3.0
Tabitha,M,6/19 Switzerland total,3780.0,,43.95348837209303,7.5,52.0
Tabitha,M,6/20 Germany 1,1070.0,,66.875,8.7,28.0
Tabitha,M,6/20 Germany 2,1120.0,,56.0,7.4,5.0
Tabitha,M,6/20 Germany 3,970.0,,74.61538461538461,6.4,8.0
Tabitha,M,6/20 Germany 4,880.0,,46.31578947368421,7.0,5.0
Tabitha,M,6/20 Germany total,4040.0,,59.411764705882355,8.7,46.0
Tabitha,M,6/21 Germany 1,610.0,5.0,46.92307692307692,6.4,3.0
Tabitha,M,6/21 Germany 2,440.0,5.0,62.857142857142854,9.1,13.0
Tabitha,M,6/21 Germany 3,790.0,5.0,65.83333333333333,6.7,13.0
Tabitha,M,6/21 Germany 4,460.0,5.0,41.81818181818182,6.3,1.0
Tabitha,M,6/21 Germany 5,860.0,5.0,66.15384615384616,7.2,30.0
Tabitha,M,6/21 Germany 6,590.0,5.0,65.55555555555556,6.0,0.0
Tabitha,M,6/21 Germany 7,710.0,5.0,64.54545454545455,7.1,31.0
Tabitha,M,6/21 Germany 8,670.0,5.0,51.53846153846154,6.6,8.0
Tabitha,M,6/21 Germany total,5130.0,5.0,57.640449438202246,9.1,99.0
Tabitha,M,6/24 FrankfurtU20 1,1430.0,,65.0,7.5,7.0
Tabitha,M,6/24 FrankfurtU20 2,970.0,,64.66666666666667,7.3,9.0
Tabitha,M,6/24 FrankfurtU20 3,760.0,,54.285714285714285,8.6,7.0
Tabitha,M,6/24 FrankfurtU20 4,490.0,,44.54545454545455,5.1,0.0
Tabitha,M,6/24 FrankfurtU20 total,3650.0,,58.87096774193548,8.6,23.0
Ellie,M,7/18 Training 1,490.0,4.0,54.44444444444444,4.1,0.0
Ellie,M,7/18 Training 2,560.0,4.0,50.90909090909091,7.0,1.0
Ellie,M,7/18 Training 3,450.0,4.0,45.0,4.0,0.0
Ellie,M,7/18 Training 4,410.0,4.0,41.0,4.7,0.0
Ellie,M,7/18 Training 5,650.0,4.0,54.166666666666664,6.8,1.0
Ellie,M,7/18 Training 6,600.0,4.0,54.54545454545455,5.7,0.0
Ellie,M,7/18 Training 7,380.0,4.0,54.285714285714285,6.0,0.0
Ellie,M,7/18 Training 8,510.0,4.0,46.36363636363637,4.3,0.0
Ellie,M,7/18 Training 9,440.0,4.0,62.857142857142854,6.1,1.0
Ellie,M,7/18 Training 10,370.0,4.0,61.666666666666664,4.9,0.0
Ellie,M,7/18 Training 11,320.0,4.0,53.333333333333336,5.0,0.0
Ellie,M,7/18 Training 12,320.0,4.0,45.714285714285715,5.6,0.0
Ellie,M,7/18 Training Total,5500.0,4.0,51.401869158878505,6.8,3.0
Ellie,M,7/18 Game 1,990.0,7.0,61.875,8.1,36.0
Ellie,M,7/18 Game 2,570.0,7.0,35.625,5.2,0.0
Ellie,M,7/18 Game 3,760.0,7.0,47.5,8.7,3.0
Ellie,M,7/18 Game 4,1380.0,7.0,51.111111111111114,6.6,4.0
Ellie,M,7/18 Game Total,3700.0,7.0,49.333333333333336,8.7,43.0
Ellie,M,7/19 Training 1,340.0,6.0,56.666666666666664,3.3,0.0
Ellie,M,7/19 Training 2,220.0,6.0,44.0,5.7,0.0
Ellie,M,7/19 Training 3,330.0,6.0,47.142857142857146,4.6,0.0
Ellie,M,7/19 Training 4,400.0,6.0,57.142857142857146,7.0,9.0
Ellie,M,7/19 Training 5,440.0,6.0,25.88235294117647,5.4,0.0
Ellie,M,7/19 Training 6,250.0,6.0,22.727272727272727,2.5,0.0
Ellie,M,7/19 Training 7,140.0,6.0,20.0,2.2,0.0
Ellie,M,7/19 Training 8,330.0,6.0,47.142857142857146,4.9,0.0
Ellie,M,7/19 Training Total,2450.0,6.0,36.56716417910448,7.0,9.0
Ellie,M,7/19 Game 1,1070.0,6.0,59.44444444444444,6.8,3.0
Ellie,M,7/19 Game 2,1020.0,6.0,48.57142857142857,7.3,45.0
Ellie,M,7/19 Game Total,2090.0,6.0,53.58974358974359,7.3,48.0
Yen,G,8/15 Training 1,1640.0,4.0,60.74074074074074,10.3,158.0
Yen,G,8/15 Training 2,520.0,4.0,57.77777777777778,8.3,2.0
Yen,G,8/15 Training 3,440.0,4.0,55.0,9.1,11.0
Yen,G,8/15 Training total,2600.0,4.0,59.09090909090909,10.3,171.0
Yen,G,8/16 Training 1,840.0,6.0,40.0,5.6,0.0
Yen,G,8/16 Training 2,300.0,6.0,37.5,6.6,3.0
Yen,G,8/16 Training 3,380.0,6.0,54.285714285714285,7.6,47.0
Yen,G,8/16 Training 4,280.0,6.0,35.0,5.5,0.0
Yen,G,8/16 Training 5,280.0,6.0,40.0,4.9,0.0
Yen,G,8/16 Training 6,220.0,6.0,31.428571428571427,4.5,0.0
Yen,G,8/16 Training 7,260.0,6.0,28.88888888888889,5.3,0.0
Yen,G,8/16 Training 8,310.0,6.0,28.181818181818183,3.7,0.0
Yen,G,8/16 Training 9,220.0,6.0,27.5,7.4,4.0
Yen,G,8/16 Training 10,450.0,6.0,40.90909090909091,4.6,0.0
Yen,G,8/16 Training 11,310.0,6.0,28.181818181818183,4.2,0.0
Yen,G,8/16 Training total,3850.0,6.0,35.648148148148145,7.6,54.0
Hana,D,1/10 Pre Game,1300.0,,50.0,6.1,1.0
Hana,D,1/10 九州 1,980.0,,57.64705882352941,8.5,16.0
Hana,D,1/10 九州 2,690.0,,46.0,6.5,6.0
Hana,D,1/10 九州 3,720.0,,42.35294117647059,6.7,2.0
Hana,D,1/10 九州 4,810.0,,50.625,5.9,0.0
Hana,D,1/10 九州 5,860.0,,57.333333333333336,5.8,0.0
Hana,D,1/10 Total,4060.0,,50.75,8.5,24.0
Hana,D,1/11 Pre Game,2560.0,,51.2,5.9,0.0
Hana,D,1/11 福岡 1,1200.0,,70.58823529411765,7.8,30.0
Hana,D,1/11 福岡 2,1000.0,,62.5,7.5,15.0
Hana,D,1/11 福岡 3,1230.0,,76.875,7.2,18.0
Hana,D,1/11 福岡 4,1130.0,,62.77777777777778,7.3,4.0
Hana,D,1/11 福岡 5,510.0,,36.42857142857143,7.9,4.0
Hana,D,1/11 福岡 6,1080.0,,63.529411764705884,7.1,15.0
Hana,D,1/11 福岡 7,660.0,,50.76923076923077,8.8,16.0
Hana,D,1/11 福岡 8,1030.0,,68.66666666666667,7.0,2.0
Hana,D,1/11 Total,7840.0,,62.22222222222222,8.8,104.0
XinYing,D,3/17 HK 1,4860.0,,48.6,8.7,77.0
XinYing,D,3/17 HK 2,730.0,,52.142857142857146,7.4,7.0
XinYing,D,3/17 Total,5590.0,,49.03508771929825,8.7,84.0
XinYing,D,3/18 明治 1,780.0,,97.5,7.0,25.0
XinYing,D,3/18 明治 2,590.0,,73.75,7.8,21.0
XinYing,D,3/18 明治 3,700.0,,87.5,7.2,11.0
XinYing,D,3/18 明治 4,810.0,,90.0,8.3,23.0
XinYing,D,3/18 Total,2880.0,,87.27272727272727,8.3,80.0
XinYing,D,3/19 Revengers 1,860.0,,95.55555555555556,6.2,1.0
XinYing,D,3/19 Revengers 2,770.0,,85.55555555555556,7.8,7.0
XinYing,D,3/19 Revengers 3,780.0,,86.66666666666667,5.9,0.0
XinYing,D,3/19 Revengers 4,790.0,,87.77777777777777,5.3,0.0
XinYing,D,3/19 Total,3200.0,,88.88888888888889,7.8,8.0
Hana,D,6/18 1,1050.0,,80.76923076923077,7.6,3.0
Hana,D,6/18 2,1210.0,,71.17647058823529,8.7,36.0
Hana,D,6/18 3,990.0,,66.0,7.7,15.0
Hana,D,6/18 4,1360.0,,68.0,8.9,77.0
Hana,D,6/18 total,4610.0,,70.92307692307692,8.9,131.0
Hana,D,6/19 Switzerland 1,650.0,,40.625,6.0,0.0
Hana,D,6/19 Switzerland 2,890.0,,40.45454545454545,4.8,0.0
Hana,D,6/19 Switzerland 3,0.0,,0.0,0.0,0.0
Hana,D,6/19 Switzerland 4,0.0,,0.0,0.0,0.0
Hana,D,6/19 Switzerland total,1540.0,,17.906976744186046,6.0,0.0
Hana,D,6/20 Germany 1,0.0,,0.0,0.0,0.0
Hana,D,6/20 Germany 2,0.0,,0.0,0.0,0.0
Hana,D,6/20 Germany 3,0.0,,0.0,0.0,0.0
Hana,D,6/20 Germany 4,0.0,,0.0,0.0,0.0
Hana,D,6/20 Germany total,0.0,,0.0,0.0,0.0
Hana,D,6/21 Germany 1,830.0,5.0,63.84615384615385,5.7,0.0
Hana,D,6/21 Germany 2,400.0,5.0,57.142857142857146,5.7,0.0
Hana,D,6/21 Germany 3,580.0,5.0,48.333333333333336,6.5,1.0
Hana,D,6/21 Germany 4,650.0,5.0,59.09090909090909,8.0,42.0
Hana,D,6/21 Germany 5,770.0,5.0,59.23076923076923,7.8,24.0
Hana,D,6/21 Germany 6,450.0,5.0,50.0,7.2,2.0
Hana,D,6/21 Germany 7,620.0,5.0,56.36363636363637,7.0,4.0
Hana,D,6/21 Germany 8,740.0,5.0,56.92307692307692,6.4,3.0
Hana,D,6/21 Germany total,5040.0,5.0,56.62921348314607,8.0,76.0
Hana,D,6/24 FrankfurtU20 1,1190.0,,54.09090909090909,8.4,18.0
Hana,D,6/24 FrankfurtU20 2,810.0,,54.0,7.1,5.0
